date,open,high,low,close
2005-01-03,2070.32,2088.87,1977.65,1989.46
2005-01-04,1985.98,2022.63,1977.9,2022.36
2005-01-05,2021.98,2064.44,2008.74,2042.3
2005-01-06,2056.19,2084.21,2016.35,2017.31
2005-01-07,2008.94,2033.74,2002.7,2023.96
2005-01-10,2019.1,2035.96,1973.23,1974.83
2005-01-11,1977.4,2040.07,1970.18,2029.17
2005-01-12,2034.79,2040.24,1987.27,2005.19
2005-01-13,1995.92,2017.16,1993.67,1995.34
2005-01-14,1986.16,1990.11,1982.61,1983.52
2005-01-17,1987.5,2004.49,1982.05,2000.55
2005-01-18,1981.77,1994.28,1975.11,1981.55
2005-01-19,1978.82,2015.19,1975.35,2014.66
2005-01-20,2009.71,2045.46,2001.91,2028.85
2005-01-21,2028.58,2067.06,2025.75,2061.58
2005-01-24,2054.12,2106.95,2051.57,2101.94
2005-01-25,2096.24,2134.27,2092.24,2122.24
2005-01-26,2114.56,2117.49,2082.99,2097.14
2005-01-27,2100.92,2101.69,2050,2067.86
2005-01-28,2067.05,2105.56,2063.52,2101.01
2005-01-31,2089.46,2150.65,2069.85,2125
2005-02-01,2117.22,2146.69,2114.43,2139.7
2005-02-02,2129.83,2130.33,2103.8,2122.51
2005-02-03,2128.42,2136,2101.06,2112.61
2005-02-04,2113.89,2138.96,2098.19,2106.21
2005-02-07,2094.51,2146.73,2091.05,2135.81
2005-02-08,2135.36,2145.77,2121.14,2129.75
2005-02-09,2127.52,2137.28,2099.24,2127.39
2005-02-10,2122.6,2130.6,2101.11,2104.43
2005-02-11,2087.1,2126.77,2080.24,2124.79
2005-02-14,2136.57,2139.38,2130.43,2130.61
2005-02-15,2124.8,2159.41,2123.33,2143.44
2005-02-16,2135.13,2137.81,2108.17,2111.93
2005-02-17,2101.78,2137.6,2091.26,2120.33
2005-02-18,2123.46,2125.51,2101.02,2106.14
2005-02-21,2114.15,2154.77,2110.39,2139.4
2005-02-22,2139.83,2167.38,2128.13,2151.37
2005-02-23,2149.8,2179.78,2134.41,2173.58
2005-02-24,2169.12,2182.15,2154.86,2157.85
2005-02-25,2153.32,2194.79,2145.45,2175.03
2005-02-28,2201.16,2205,2164.13,2169.58
2005-03-01,2181.37,2195.66,2176.8,2192.73
2005-03-02,2191.72,2195.41,2161.4,2169.95
2005-03-03,2167.21,2197.17,2165.31,2195.51
2005-03-04,2201.58,2216.06,2196.23,2209.11
2005-03-07,2214.66,2224.25,2206.49,2211.25
2005-03-08,2205.64,2215.16,2190.58,2198.38
2005-03-09,2225.08,2227.08,2194.5,2203.72
2005-03-10,2223.43,2235.16,2174.48,2178.17
2005-03-11,2184.49,2189.08,2121.97,2124.16
2005-03-14,2143.76,2160.37,2122.35,2127.32
2005-03-15,2140.25,2165.14,2116.99,2145.76
2005-03-16,2145.69,2165.05,2124.92,2158.22
2005-03-17,2169.68,2182.47,2164.47,2167.72
2005-03-18,2181.12,2183.63,2132.77,2135
2005-03-21,2128.06,2138.6,2122.64,2134.62
2005-03-22,2141.69,2175.3,2138.74,2175.2
2005-03-23,2173.8,2174,2138.95,2143.01
2005-03-24,2129.77,2153.34,2116.48,2152.46
2005-03-25,2149.92,2150.91,2132.86,2136.64
2005-03-28,2140.05,2148.12,2118.81,2132.34
2005-03-29,2129.98,2156.6,2122.6,2152.97
2005-03-30,2156.82,2191.07,2147.37,2174.05
2005-03-31,2185.15,2245.06,2179.75,2223.2
2005-04-01,2231.07,2233.98,2210.47,2216.74
2005-04-04,2201.27,2212.46,2186.68,2204.39
2005-04-05,2202.37,2244.31,2194.43,2234.13
2005-04-06,2232.35,2233.23,2199.02,2206.32
2005-04-07,2202.52,2236.52,2198.2,2233.3
2005-04-08,2233.06,2239.15,2205.53,2212.11
2005-04-11,2209.35,2211.25,2191.83,2203.99
2005-04-12,2209.1,2248.57,2201.19,2247.97
2005-04-13,2246.39,2260.56,2239.9,2249.99
2005-04-14,2263,2348.43,2251.99,2332.39
2005-04-15,2329.43,2345.65,2304.83,2343.28
2005-04-18,2345.44,2422.52,2345.32,2416.64
2005-04-19,2421.61,2423.82,2408.26,2408.95
2005-04-20,2432.13,2449.49,2388.79,2396.94
2005-04-21,2408.39,2413.07,2370.37,2390.65
2005-04-22,2400.33,2419.76,2359.6,2361.65
2005-04-25,2359.48,2382.65,2322.25,2334.42
2005-04-26,2327.81,2343.31,2312.82,2316.65
2005-04-27,2307.65,2376.66,2302.04,2365.98
2005-04-28,2352.67,2358.82,2343.24,2352.84
2005-04-29,2339.05,2346.52,2296.73,2309.72
2005-05-02,2307.46,2351.06,2302.65,2331.61
2005-05-03,2335.81,2338.03,2333.61,2335.39
2005-05-04,2333.03,2382.46,2329.38,2366.47
2005-05-05,2372.89,2385.37,2348.32,2356.75
2005-05-06,2351.81,2374.13,2325.06,2334.12
2005-05-09,2334.75,2416.66,2322.24,2397.86
2005-05-10,2390.81,2427.71,2383.91,2412.44
2005-05-11,2419.41,2419.51,2406.33,2412.45
2005-05-12,2437.71,2446.63,2412.15,2427.97
2005-05-13,2442.39,2459.7,2380.07,2405.14
2005-05-16,2391.06,2481.7,2381.66,2464.4
2005-05-17,2451.07,2521.67,2442.07,2521.16
2005-05-18,2532.85,2554.64,2482.52,2495.06
2005-05-19,2487.22,2493.56,2477.4,2489.86
2005-05-20,2496.13,2523.61,2474.69,2501.88
2005-05-23,2518.37,2520.25,2388.55,2399.26
2005-05-24,2415.85,2427.61,2382.9,2385.16
2005-05-25,2382.85,2398.23,2355.13,2378.49
2005-05-26,2377.61,2383.23,2342.88,2363.28
2005-05-27,2362.78,2393.16,2359.08,2379.2
2005-05-30,2372.5,2394.22,2359.4,2369.6
2005-05-31,2381.74,2417.75,2370.43,2370.74
2005-06-01,2379.46,2380.61,2371.86,2376.22
2005-06-02,2363.53,2384.9,2351.22,2373.33
2005-06-03,2375.28,2385.38,2343.21,2358.61
2005-06-06,2370.95,2390.96,2307.73,2315.21
2005-06-07,2319.32,2339.47,2314.25,2331.45
2005-06-08,2305.15,2318.28,2234.18,2248.86
2005-06-09,2250.44,2284.23,2243.06,2282.8
2005-06-10,2290.47,2335.77,2278.4,2320.14
2005-06-13,2321.3,2338.29,2302.79,2335.6
2005-06-14,2360.2,2372.19,2304.39,2315.02
2005-06-15,2306.91,2363.87,2291.3,2338.86
2005-06-16,2339.31,2371.6,2331.01,2359.2
2005-06-17,2367.56,2390.45,2366.94,2378.39
2005-06-20,2372.55,2453.73,2367.23,2438.3
2005-06-21,2429.11,2477.16,2418.53,2460.84
2005-06-22,2472.63,2486.1,2451.51,2482.04
2005-06-23,2468.88,2507.11,2468.31,2475.84
2005-06-24,2475.75,2573.87,2473.47,2573.24
2005-06-27,2574.21,2585.4,2567.9,2583.39
2005-06-28,2607.31,2607.41,2541.47,2558.84
2005-06-29,2553.72,2569.02,2542.57,2547.7
2005-06-30,2545.18,2611.86,2539.29,2592.83
2005-07-01,2590.57,2619.1,2586.92,2609.25
2005-07-04,2603.56,2629.99,2583.26,2616.77
2005-07-05,2624.9,2656.65,2612.42,2653.55
2005-07-06,2649.08,2747.39,2637.46,2740.51
2005-07-07,2724.28,2769.4,2704.65,2749.92
2005-07-08,2777.45,2780.65,2719.43,2737.75
2005-07-11,2756.57,2767.67,2740.4,2762.04
2005-07-12,2774.65,2794.3,2771.99,2788.53
2005-07-13,2805.28,2813.02,2775.54,2779.14
2005-07-14,2761.84,2773.27,2730.11,2730.27
2005-07-15,2736.45,2738.45,2664.62,2672.92
2005-07-18,2672.57,2691.75,2672.15,2690.03
2005-07-19,2707.39,2740.72,2690.68,2738.77
2005-07-20,2737.45,2779.77,2722.31,2759.64
2005-07-21,2760.01,2778.82,2717.76,2718.58
2005-07-22,2730.01,2747.49,2673.26,2673.29
2005-07-25,2675.13,2683.21,2649.84,2657.21
2005-07-26,2646.12,2657.13,2622.05,2637.82
2005-07-27,2648.36,2692.28,2644.95,2687.02
2005-07-28,2681.6,2710.31,2679.89,2706.64
2005-07-29,2720.71,2734.97,2693.19,2699.53
2005-08-01,2694.89,2712.01,2688.29,2697.15
2005-08-02,2711.55,2726.37,2687.83,2694.01
2005-08-03,2690.54,2701.36,2645.89,2661.61
2005-08-04,2673.31,2687.51,2672.01,2681.96
2005-08-05,2686.32,2708.27,2681.46,2702.5
2005-08-08,2685.61,2737.01,2683.46,2726.43
2005-08-09,2744.14,2746.86,2711.83,2713.85
2005-08-10,2702.13,2711.38,2666.17,2679.43
2005-08-11,2665.08,2689.94,2655.93,2676.55
2005-08-12,2681.92,2696.06,2637.98,2658.44
2005-08-15,2673.71,2698.09,2661.35,2676.74
2005-08-16,2686.49,2739.94,2685.91,2718.31
2005-08-17,2699.17,2751.35,2698.57,2733.73
2005-08-18,2754.53,2762.16,2734.77,2740.42
2005-08-19,2760.54,2770.9,2739.67,2747.44
2005-08-22,2739.97,2775.37,2725.34,2771.31
2005-08-23,2764.89,2872.58,2746.15,2868.17
2005-08-24,2877.51,2891.02,2846.65,2852.62
2005-08-25,2863.49,2909.51,2848.38,2897.43
2005-08-26,2890.62,2973.24,2883.62,2967.76
2005-08-29,2975.21,2979.24,2970.21,2973.21
2005-08-30,2968.49,2986.97,2917.77,2981.57
2005-08-31,2993.93,3000.4,2941.34,2964.07
2005-09-01,2981.95,2984.59,2955.32,2965.75
2005-09-02,2945.67,2984.67,2914.57,2965.22
2005-09-05,2982.13,2989.49,2917.21,2939.05
2005-09-06,2938.22,2939.24,2921.53,2922.05
2005-09-07,2944.07,2953.02,2857.3,2869.98
2005-09-08,2892.46,2932.22,2850.88,2885.69
2005-09-09,2880.57,2926.58,2848.31,2912.1
2005-09-12,2892.52,3022.08,2887.08,3011.84
2005-09-13,3011.6,3049.09,2992.2,3031.21
2005-09-14,3036.53,3053.58,2987.9,3010.94
2005-09-15,3012.53,3025.73,2934.26,2945.09
2005-09-16,2946.22,2953.26,2913.87,2940.63
2005-09-19,2938.48,2952.57,2927.9,2949.02
2005-09-20,2940.02,2951.78,2888.83,2888.92
2005-09-21,2883.76,2899.55,2870.55,2898.51
2005-09-22,2919.91,2925.68,2917.69,2924.48
2005-09-23,2933.33,2945.87,2879.83,2889.54
2005-09-26,2902.82,2927.09,2894.34,2924.37
2005-09-27,2933.79,2964.54,2928.72,2955.47
2005-09-28,2937.47,2969.12,2931.11,2952.24
2005-09-29,2963.98,3046.56,2947.16,3043.85
2005-09-30,3060.77,3078.07,3041.96,3066.14
2005-10-03,3040.54,3079.6,3024.99,3072.56
2005-10-04,3066.81,3102.53,3021.53,3040.09
2005-10-05,3049.32,3055.65,2977.24,3012.27
2005-10-06,3002.63,3003.46,2990.65,2998.85
2005-10-07,3003.59,3009.01,2926.41,2964.93
2005-10-10,2956.67,3011.64,2950.32,2998.14
2005-10-11,3007.11,3023.85,3001.11,3001.55
2005-10-12,2986.64,3015.19,2950.16,2955.41
2005-10-13,2947.83,3024.79,2947.38,2992.35
2005-10-14,3001.68,3013.18,2980.31,2986.13
2005-10-17,2987.79,2996.78,2973.14,2989.17
2005-10-18,2999.36,3003.38,2929.94,2954.05
2005-10-19,2946.15,2980.07,2925.37,2957.7
2005-10-20,2974.61,2992.1,2910.64,2913.99
2005-10-21,2921.56,2925,2890.54,2895.73
2005-10-24,2891.88,2895.58,2839.94,2839.98
2005-10-25,2857.67,2936.91,2842.05,2914.04
2005-10-26,2927.11,2929.38,2867.66,2881.92
2005-10-27,2896.15,2907.18,2862.69,2879.04
2005-10-28,2871.81,2933.62,2871.55,2896.77
2005-10-31,2902.93,2919.76,2899.07,2919.18
2005-11-01,2913.58,2924.57,2903.38,2910.15
2005-11-02,2917.29,2939.07,2914.25,2933.45
2005-11-03,2943.27,2979.76,2935.93,2973.64
2005-11-04,2970.51,3049.07,2969.27,3043.29
2005-11-07,3048.91,3118.69,3039.55,3087.62
2005-11-08,3083.98,3097.6,3074.14,3088.16
2005-11-09,3088.11,3111.88,3040.73,3041.56
2005-11-10,3027.73,3053.59,3022.17,3050.18
2005-11-11,3039.69,3052.44,2985.91,2992.43
2005-11-14,2987,2996.28,2940.21,2945.02
2005-11-15,2921.58,2929,2895.56,2898.18
2005-11-16,2895.42,2909.82,2847.57,2859.32
2005-11-17,2860.56,2908.14,2847.31,2906.19
2005-11-18,2909.93,2950.2,2900.13,2941.87
2005-11-21,2939.32,2941.59,2874.46,2884.97
2005-11-22,2889.71,2906.42,2879.02,2897.82
2005-11-23,2898.84,2941.38,2887.01,2940.06
2005-11-24,2943.74,2951.69,2848.99,2858.19
2005-11-25,2868.35,2922.78,2860.3,2911.24
2005-11-28,2910.21,2930.36,2867.31,2891.5
2005-11-29,2893.27,2928.83,2878.03,2920.8
2005-11-30,2924.74,2996.3,2918.94,2973.78
2005-12-01,2952.82,2990.48,2946.63,2986.15
2005-12-02,2982.99,3010.59,2969.76,2994.92
2005-12-05,2994.11,3047.89,2975.67,3027.3
